Цветохвостник яванский
Мокруха войлочная
Дождевик луговой
Говорушка слабопахучая
Мацутакэ
Клавикорона крыночковидная
Строчок гигантский
Подберезовик белый
Рядовка серовато-сиреневая
Трутовик берёзовый
Боровик волчий
Алеврия оранжевая
Навозник дятловый
Млечник серо-розовый
Белопаутинник луковичный
Ксерула корневая
Паутинник обыкновенный
Моховик полузолотистый
Сыроежка дикая
Хлорофиллум тёмно-бурый
Подольшаник
Ежовик красновато-желтый
Вольвариелла слизистоголовая
Подосиновик сосновый
Ризина волнистая
Клавулинопсис палевый
Негниючник колёсовидный
Ложнодождевик пятнистый
Звездовик черноголовый
Трутовик ложный обожжённый
Негниючник кровавоголовый
Мицена полосатоножковая
Коллибия изогнутая
Цветохвостник яванский
Боровик прекрасный
Головач гигантский
Перечный гриб
Подгруздок белый
Строфария сине-зеленая
Галерина окаймленная
Сенный навозник
Подосиновик красный
Мухомор жемчужный
Говорушка дымчатая форма белая
Навозник золотистый
Глеофиллум пихтовый
Телефора кисточковая
Псатирелла олимпийская
Чешуйчатка лимонная
Рыжик лососёвый
Феллинус черноограниченный
Цератиомикса кустарничковая
Геопора Самнера
Лизурус Гарднера
Траметес охряный
Бьеркандера опаленная
Тилопил чёрно-бархатный
Коллибия подснежная
Звездовик Шмиделя
Плютей умбровый
Энтеридиум дождевиковый
Боровик Фроста
Флоккулярия соломенно-желтая
Гигрофор девичий
Рядовка бородатая
Строфария горнеманна
Мухомор ярко-жёлтый
Гебелома корневая
Дрожалка листоватая
Мицена молочная
Блюдцевик жилковатый
Волоконница похожая
Лепиота вздутоспоровая
Чешуйчатка гаревая
Рядовка мыльная
Моховик припорошенный
Чесночник обыкновенный
Гиднеллум Пека
Белый гриб бронзовый
Вёшенка осенняя
Чешуйчатка золотистая
Белый гриб сосновый
Шампиньон двуспоровый
Лисичка бледная (Лисичка белая)
Паутинник слизистый
Маслёнок белый
Ложный сатанинский гриб
Паутинник пасынковидный
Моховик тупоспоровый
Маслёнок рубиновый
Пилолистник бокаловидный
Плютей благородный
Пилолистник тигровый
Клавулина коралловидная
Хемитрихия змеиная
Рядовка массивная
Псевдомброфила скученная
Гигроцибе турунда
Рыжик финский
Чешуйчатка отклоняющаяся
Меланолеука бородавчатоножковая
Чешуйчатка Яна
Маразмиеллус веточный
Ирпекс молочно-белый
